StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
0,0.666667,1,0,0.5,0.992773,0.241379,1,0.5,0,0,1,0,0.732299,2
0.000418,1,0,0,0.25,0.77127,0,0,0.25,0,0,0,0,0.760729,1
0.000836,0,0,0.666667,0.75,0.210718,0.896552,0,0.5,0,0,0,0,0.028151,4
0.001255,0.666667,1,0,0.75,0.501965,0.482759,0,0.75,1,0,0,0,0.513555,3
0.001673,0.666667,1,0,0.5,0.23384,0.586207,1,0.75,0,0,0,0,0.322015,4
0.002091,1,0,0,0.25,0.409979,0,0,0.25,1,0,0,0,0.771046,1
0.002509,0,0,0.333333,0.25,0.780928,0.344828,0,0.75,0,1,0,0,0.687059,2
0.002928,0,1,0.333333,1,0.772058,0.758621,1,0.25,1,0,0,0,0.340036,4
0.003346,0.666667,0,0,0,0.22831,0.034483,0,0.5,0,1,0,1,0.724205,2
0.003764,0.333333,1,0,0.25,0.92323,0,0,0.75,1,0,0,0,0.893369,0
0.004182,0.666667,0,0,0.25,0.593196,0.37931,0,0.25,0,0,0,0,0.536793,3
0.004601,0.666667,0,0,0.25,0.380308,0.517241,0,0.5,0,0,0,1,0.389899,4
0.005019,0.666667,0,0.333333,0.25,0.50246,0.724138,0,0.75,1,0,0,0,0.380019,4
0.005437,0.666667,0,0.333333,0.5,0.605714,0.724138,0,1,0,1,0,0,0.437895,4
0.005855,1,1,0,0.25,0.560481,0.310345,1,0.5,0,0,0,0,0.599197,3
0.006274,0,0,0,0.5,0.486911,0.586207,1,0,0,1,0,0,0.33538,4
0.006692,1,0,1,0.25,0.50546,0.482759,0,0.5,1,1,0,0,0.558044,3
0.00711,1,1,0,0,0.176562,0.551724,1,0.5,0,0,0,0,0.346101,4
0.007528,1,0,0.333333,0.75,0.813614,1,0,0.5,1,0,0,1,0.117388,4
0.007946,0.666667,0,0,0.25,0.54233,0.310345,0,0.5,0,0,1,0,0.598946,3
0.008365,0.333333,1,0,0.75,0.131178,0.068966,0,0.75,0,0,0,1,0.694603,2
0.008783,0,0,0,0.5,0.766985,0.862069,0,0.25,1,0,0,0,0.086724,4
0.009201,0.333333,1,0.333333,0,0.933463,1,1,0.25,0,0,0,0,0.078137,4
0.009619,1,1,1,1,0.948343,0.689655,0,0.5,1,0,0,0,0.442533,4
0.010038,1,1,0,0.25,0.369389,0.517241,0,0.5,0,0,0,0,0.376289,4
0.010456,0.333333,1,0,0.75,0.13562,0.172414,0,1,0,0,1,0,0.744463,2
0.010874,0.333333,0,0,0.25,0.518943,0.068966,0,0.5,0,1,0,0,0.737179,2
0.011292,0.333333,1,0,0.75,0.112686,0.275862,0,0.75,0,0,1,0,0.536301,3
